Year,Cases,MMWR Week
2017,450,19
2017,662,20
2017,657,21
2017,1330,22
2017,1469,23
2017,1737,24
2017,1662,25
2017,2245,26
2017,1953,27
2017,2027,28
2017,1596,29
2017,1272,30
2017,1340,31
2017,835,32
2017,704,33
2017,545,34
2017,628,35
2017,433,36
2017,422,37
2017,365,38
2017,359,39
2017,452,40
2017,328,41
2017,351,42
2017,285,43
2017,444,44
2017,240,45
2017,260,46
2017,169,47
2017,236,48
2017,156,49
2017,140,50
2017,111,51
2017,116,52
2017,14,53
2018,234,1
2018,133,2
2018,134,3
2018,105,4
2018,194,5
2018,104,6
2018,117,7
2018,112,8
2018,245,9
2018,131,10
2018,133,11
2018,133,12
2018,153,13
2018,273,14
2018,156,15
2018,171,16
2018,167,17
2018,413,18
2018,277,19
2018,417,20
2018,551,21
2018,1063,22
2018,1057,23
2018,1418,24
2018,1264,25
2018,1311,26
2018,1690,27
2018,1201,28
2018,989,29
2018,754,30
2018,905,31
2018,556,32
2018,494,33
2018,433,34
2018,512,35
2018,358,36
2018,355,37
2018,286,38
2018,302,39
2018,484,40
2018,321,41
2018,379,42
2018,262,43
2018,374,44
2018,189,45
2018,181,46
2018,141,47
2018,214,48
2018,133,49
2018,111,50
2018,105,51
2018,95,52
2018,8,53
2019,206,1
2019,102,2
2019,98,3
2019,97,4
2019,162,5
2019,81,6
2019,110,7
2019,84,8
2019,179,9
2019,75,10
2019,121,11
2019,108,12
2019,106,13
2019,234,14
2019,160,15
2019,219,16
2019,209,17
2019,407,18
2019,350,19
2019,421,20
2019,488,21
2019,915,22
2019,875,23
2019,1160,24
2019,1253,25
2019,1232,26
2019,1828,27
2019,1451,28
2019,1448,29
2019,1166,30
2019,1096,31
2019,829,32
2019,697,33
2019,542,34
2019,437,35
2019,526,36
2019,371,37
2019,393,38
2019,285,39
2019,473,40
2019,286,41
2019,269,42
2019,269,43
2019,377,44
2019,182,45
2019,170,46
2019,146,47
2019,135,48
2019,155,49
2019,120,50
2019,73,51
2019,78,52
2019,2,53
2020,152,1
2020,63,2
2020,66,3
2020,68,4
2020,120,5
2020,82,6
2020,64,7
2020,51,8
2020,48,9
2020,105,10
2020,52,11
2020,50,12
2020,39,13
2020,112,14
2020,89,15
2020,101,16
2020,87,17
2020,216,18
2020,147,19
2020,224,20
2020,210,21
2020,300,22
2020,690,23
2020,661,24
2020,808,25
2020,723,26
2020,942,27
2020,713,28
2020,676,29
2020,490,30
2020,496,31
2020,333,32
2020,270,33
2020,215,34
2020,208,35
2020,267,36
2020,162,37
2020,141,38
2020,132,39
2020,214,40
2020,142,41
2020,145,42
2020,144,43
2020,129,44
2020,133,45
2020,89,46
2020,98,47
2020,62,48
2020,125,49
2020,71,50
2020,79,51
2020,61,52
2020,30,53
2021,72,1
2021,90,2
2021,66,3
2021,50,4
2021,98,5
2021,42,6
2021,59,7
2021,57,8
2021,165,9
2021,59,10
2021,85,11
2021,74,12
2021,141,13
2021,110,14
2021,158,15
2021,157,16
2021,265,17
2021,194,18
2021,275,19
2021,290,20
2021,393,21
2021,898,22
2021,864,23
2021,1116,24
2021,1128,25
2021,1439,26
2021,1379,27
2021,1203,28
2021,902,29
2021,683,30
2021,786,31
2021,446,32
2021,432,33
2021,255,34
2021,311,35
2021,247,36
2021,245,37
2021,215,38
2021,270,39
2021,228,40
2021,231,41
2021,217,42
2021,195,43
2021,222,44
2021,155,45
2021,109,46
2021,84,47
2021,79,48
2021,95,49
2021,50,50
2021,42,51
2021,44,52
2021,39,53
2022,18,1
2022,13,2
2022,7,3
2022,13,4
2022,21,5
2022,10,6
2022,10,7
2022,10,8
2022,22,9
2022,17,10
2022,29,11
2022,16,12
2022,39,13
2022,26,14
2022,28,15
2022,25,16
2022,34,17
2022,53,18
2022,52,19
2022,59,20
2022,73,21
2022,149,22
2022,162,23
2022,191,24
2022,156,25
2022,224,26
2022,144,27
2022,178,28
2022,143,29
2022,102,30
2022,131,31
2022,62,32
2022,71,33
2022,59,34
2022,84,35
2022,39,36
2022,35,37
2022,34,38
2022,55,39
2022,27,40
2022,36,41
2022,32,42
2022,19,43
2022,37,44
2022,13,45
2022,18,46
2022,10,47
2022,27,48
2022,17,49
2022,13,50
2022,13,51
2022,25,52
2022,1,53
2023,29,1
2023,10,2
2023,13,3
2023,15,4
2023,15,5
2023,9,6
2023,12,7
2023,7,8
2023,26,9
2023,13,10
2023,19,11
2023,20,12
2023,32,13
2023,17,14
2023,21,15
2023,23,16
2023,33,17
2023,64,18
2023,59,19
2023,91,20
2023,115,21
2023,197,22
2023,207,23
2023,207,24
2023,195,25
2023,334,26
2023,367,27
2023,386,28
2023,300,29
2023,213,30
2023,246,31
2023,130,32
2023,121,33
2023,78,34
2023,81,35
2023,49,36
2023,55,37
2023,48,38
2023,53,39
2023,52,40
2023,54,41
2023,53,42
2023,35,43
2023,38,44
2023,30,45
2023,33,46
2023,24,47
2023,26,48
2023,16,49
2023,6,50
2023,17,51
2023,14,52
2023,1,53
